model,target,R2_test,RMSE_test
LinearRegression,computation_pout_C_ISEN_EFF_TOT2TOT,0.1913854843038545,0.01617442391018943
LinearRegression,computation_pout_C_POLY_EFF_TOT2TOT,0.1901759275640994,0.015182216529787865
LinearRegression,computation_pout_TOT_PRES_RATIO,0.6968018228325126,0.0316156308006227
LinearRegression,computation_pout_MASS_FLOW,0.5208924415459836,0.3450227193733147
LinearRegression,computation_pout_TORQUE,0.8034992460988766,21.564081565625454
LinearRegression,computation_pout_C_PRES_LOSS,0.8625685403933973,0.07054182356323843
Ridge,computation_pout_C_ISEN_EFF_TOT2TOT,0.10471884867486791,0.017019146442089256
Ridge,computation_pout_C_POLY_EFF_TOT2TOT,0.10859039808527349,0.01592863255029895
Ridge,computation_pout_TOT_PRES_RATIO,0.6020041808890435,0.036222449307709126
Ridge,computation_pout_MASS_FLOW,0.45668217338812955,0.3674160805863181
Ridge,computation_pout_TORQUE,0.6671973696485065,28.063525616234184
Ridge,computation_pout_C_PRES_LOSS,0.7837968512013972,0.0884778600707977
RandomForest,computation_pout_C_ISEN_EFF_TOT2TOT,0.6743981727791736,0.010263641433620308
RandomForest,computation_pout_C_POLY_EFF_TOT2TOT,0.6702996137491573,0.009687229035762636
RandomForest,computation_pout_TOT_PRES_RATIO,0.7687476793222168,0.02761096644729595
RandomForest,computation_pout_MASS_FLOW,0.7785310583303922,0.23457817208760526
RandomForest,computation_pout_TORQUE,0.7876619662926198,22.416239140048717
RandomForest,computation_pout_C_PRES_LOSS,0.8267161561518432,0.07921047896815005
LightGBM,computation_pout_C_ISEN_EFF_TOT2TOT,0.7513992558246443,0.008968282226020094
LightGBM,computation_pout_C_POLY_EFF_TOT2TOT,0.7565114262904495,0.00832490205880245
LightGBM,computation_pout_TOT_PRES_RATIO,0.8652806948742922,0.02107431539808203
LightGBM,computation_pout_MASS_FLOW,0.8543273209866089,0.19024805973550019
LightGBM,computation_pout_TORQUE,0.8881254376849362,16.27101067542359
LightGBM,computation_pout_C_PRES_LOSS,0.9182547186504465,0.05440451578339268
XGBoost,computation_pout_C_ISEN_EFF_TOT2TOT,0.6826577636947425,0.010132625547355372
XGBoost,computation_pout_C_POLY_EFF_TOT2TOT,0.6879853662343292,0.009423827363135897
XGBoost,computation_pout_TOT_PRES_RATIO,0.8037586802715327,0.025435119728589153
XGBoost,computation_pout_MASS_FLOW,0.7983898557414605,0.2238140638136649
XGBoost,computation_pout_TORQUE,0.827820240651013,20.185518227709004
XGBoost,computation_pout_C_PRES_LOSS,0.8597701215166706,0.07125640073031295
